external_id,title,mark_and_model,first_registration_date,mileage,gearbox,fuel,engine_size,power,emission_class,co2_value,country_of_origin
4892818,"Volkswagen 1.0 80 Lounge Business VOLKSWAGEN Polo / 2017 / 5P / Berline 1.0 80 Lounge Business","Volkswagen Polo",09/2020,38087,Manual,Petrol,999,80,Euro6,1252,France
4892817,"Peugeot Puretech 130 S&S Active Business 3008 Active Business 1.2 PureTech 130CV BVM6 E6","Peugeot 3008",02/2019,127006,Manual,Petrol,1199,131,Euro6,1242,France
4892816,"Peugeot &BLUEHDI 100 S&S ALLURE BUSINESS 208 Allure Business 1.6 HDi 100CV BVM5 E6","Peugeot 208",05/2018,86874,Manual,Diesel,1560,99,Euro6,792,France
4892815,"Peugeot BlueHDi 180 S&S EAT8 GT 5008 GT 2.0 HDi 180CV BVA8 E6d","Peugeot 5008",10/2020,66158,Automatic,Diesel,1997,177,Euro6,1662,France
4892814,"Audi 1.5 35 TFSI 150 S TRONIC DESIGN LUXE Q3 35 TFSI Design luxe 1.5 150CV BVA7 E6dT","Audi Q3",07/2019,24986,Automatic,Petrol,1498,150,Euro6,1302,France
4892813,"Renault Intens dCi 90 Captur Intens 1.5 dCi 90CV BVM5 E6","Renault Captur",09/2019,108432,Manual,Diesel,1461,90,Euro6,1112,France
4892812,"Citroen BlueHDi 130 S&S BVM6 Business C4 Grand Picasso/Spacetourer Business 1.5 BlueHDi 130CV BVM6 E6d","Citroen Grand C4 Picasso / SpaceTourer",02/2021,123663,Manual,Diesel,1499,131,Euro6,1282,France
4892811,"Peugeot BlueHDi 130 EAT8 S&S ACTIVE BUSINESS 308 SW Active Business 1.5 HDi 130CV BVA8 E6d","Peugeot 308",08/2020,94333,Automatic,Diesel,1499,131,Euro6,1252,France
4892810,"Nissan 1.5 DCI 115 DCT Business Edition NISSAN Qashqai / 2017 / 5P / Crossover 1.5 DCI 115 DCT Business Edition","Nissan Qashqai",09/2019,119687,Automatic,Diesel,1461,116,Euro6,1092,France
4892809,"Volvo T3 163 Geartronic 8 Inscription Luxe VOLVO XC40 / 2017 / 5P / SUV T3 163 Geartronic 8 Inscription Luxe","Volvo XC40",07/2019,87652,Automatic,Petrol,1477,163,Euro6,1472,France
4892808,"Peugeot Taille XL 2.0 BHDI 145 S&S AUTO PEUGEOT Expert / 2016 / 4P / Fourgon tÃ´lÃ© Taille XL 2.0 BHDI 145 S&S AUTO","Peugeot Expert",02/2024,11716,Automatic,Diesel,1997,144,Euro6,1992,France
4892807,"Renault Business Energy dCi 90 82g Clio IV Business 1.5 dCi 90CV BVM5 E6","Renault Clio",06/2018,21121,Manual,Diesel,1461,90,Euro6,822,France
4892806,"Renault Zen TCe 100 Clio V Zen 1.0 TCe 100CV BVM5 E6dT","Renault Clio",12/2019,40766,Manual,Petrol,999,101,Euro6,1002,France
4892805,"Mercedes CLA 180 d Business Line BA7 MERCEDES-BENZ CLA Coupe / 2019 / 4P / CoupÃ© CLA 180 d Business Line BA7","Mercedes CLA 180",06/2020,43609,Automatic,Diesel,1461,116,Euro6,1222,France
4892804,"BMW sDrive16d xLine DKG7 SÃ©rie X1 sDrive16d xLine 1.5 115CV BVA7 E6dT","BMW X1",07/2019,124672,Automatic,Diesel,1496,116,Euro6,1122,France
4892803,"Renault Zen TCe 100 RENAULT Clio / 2019 / 5P / Berline Zen TCe 100","Renault Clio",12/2019,38235,Manual,Petrol,999,101,Euro6,1002,France
4892802,"Peugeot BLUEHDI 130 S&S EAT8 ALLURE PACK 2008 Allure Pack 1.5 HDi 130CV BVA8 E6d","Peugeot 2008",01/2022,46409,Automatic,Diesel,1499,131,Euro6,1252,France
4892801,"Renault Business TCe 90 -21 Clio V Business 1.0 TCe 90CV BVM6 E6d","Renault Clio",05/2021,35860,Manual,Petrol,999,91,Euro6,1182,France
4892800,"Toyota 2WD Dynamic Edition Business TOYOTA RAV4 Hybride 5p SUV 2WD Dynamic Edition Business","Toyota RAV 4",05/2018,101062,Automatic,Petrol,2494,196,Euro6,1162,France
4892799,"Citroen BlueHDi 100 S&S BVM6 Feel Business R C3 SociÃ©tÃ© Feel Business R 1.5 BlueHDI 100CV BVM6 E6d","Citroen C3",09/2021,44773,Manual,Diesel,1499,102,Euro6,1112,France
4892798,"Ford 1.5 TDCi 95 ch BVM6 S&S Trend Business FORD C-Max 5p Monovolume 1.5 TDCi 95 ch BVM6 S&S Trend Business","Ford C-Max",10/2018,43696,Manual,Diesel,1499,94,Euro6,1252,France
4892797,"Peugeot PureTech 100 S&S ACTIVE BUSINESS 2008 Active Business 1.2 PureTech 100CV BVM6 E6d","Peugeot 2008",03/2021,60549,Manual,Petrol,1199,101,Euro6,1222,France
4892796,"Volkswagen 1.5 TSI EVO United 7 places(SP) Touran United Start-Stop 1.5 TSI 150CV BVM6 E6d","Volkswagen Touran",01/2021,87256,Manual,Petrol,1498,150,Euro6,1502,France
4892795,"Skoda 1.6 TDI 116ch DSG7 Business Karoq Business 1.6 TDI 115CV BVA7 E6dT","Skoda Karoq",07/2020,68468,Automatic,Diesel,1598,116,Euro6,1562,France
4892794,"Peugeot 1.6 BLUEHDI 120 S&S ACTIVE BUSINESS 308 Active Business 1.6 Hdi 120CV BVM6 E6","Peugeot 308",08/2017,57352,Manual,Diesel,1560,120,Euro6,822,France
4892793,"Peugeot 2.0 BLUEHDI 180 S&S EAT8 GT 3008 GT 2.0 HDi 180CV BVA8 E6dT","Peugeot 3008",03/2018,93261,Automatic,Diesel,1997,177,Euro6,1242,France
4892792,"Citroen PureTech 110 S&S BVM6 Shine Business C3 Shine Business 1.2 PureTech 110CV BVM6 E6d","Citroen C3",02/2020,50296,Manual,Petrol,1199,110,Euro6,1042,France
4892791,"Renault dCi 75 Clio IV Air 1.5 dCi 90CV BVM5 E6","Renault Clio",10/2019,71243,Manual,Diesel,1461,75,Euro6,1042,France
4892790,"BMW  BMW SÃ©rie 1 / 2019 / 5P / Berline 116d Business Design","BMW 116",01/2023,26378,Manual,Diesel,1496,116,N/A,1212,France
4892789,"Opel  Crossland X Business Elegance 1.2 Turbo 130CV BVA6 E6d","Opel Crossland X",08/2023,15998,Automatic,Petrol,1199,131,Euro6,1412,France
4892788,"BMW  BMW SÃ©rie 1 / 2019 / 5P / Berline 116d DKG7 Business Design","BMW 116",12/2022,18394,Automatic,Diesel,1496,116,N/A,1222,France
4892787,"Seat 1.0 TSI 115 S&S Style Business Ateca Style Business 1.0 TSI 115CV BVM6 E6dT","Seat Ateca",10/2020,53905,Manual,Petrol,999,116,Euro6,1482,France
4892786,"MG Luxury 143ch MG ZS / 2020 / 5P / SUV Luxury 143ch","MG Other",07/2021,28037,Automatic,Electric,0,150,N/A,0,France
4892785,"Seat 1.0 TSI 110 S&S Style Business Leon Business 1.0 TSI 110CV BVM6 E6d","Seat Leon",07/2022,35723,Manual,Petrol,999,110,Euro6,1252,France
4892784,"Renault Business E-TECH 140 -21 Clio V Business 1.6 E-TECH Hybrid 140CV BVA6 E6d","Renault Clio",06/2021,84211,Automatic,"Hybrid (petrol / electric)",1598,91,Euro6,992,France
4892783,"Renault  Megane IV Berline 5 ptes. Techno 1.5 dCi 115CV BVA7 E6d","Renault Megane",03/2023,33984,Automatic,Diesel,1461,116,Euro6,1212,France
4892782,"Renault  Kadjar Evolution 1.5 dCi 115CV BVM7 E6d","Renault Kadjar",08/2022,50580,Automatic,Diesel,1461,116,Euro6,1342,France
4892781,"Hyundai ELECTRIQUE 64kWh 204 ch Creative Kona Creative Electrique 2WD 64kWh BVA","Hyundai Kona",05/2021,79419,Automatic,Electric,0,204,Euro6,0,France
4892780,"Renault  Kadjar Business Edition 1.5 dCi 115CV BVM7 E6d","Renault Kadjar",12/2021,59139,Automatic,Diesel,1461,116,Euro6,1342,France
4892779,"Renault  Trafic Fourgon L2H1 3T Grand Confort 2.0 dCi 130CV BVM6 E6d","Renault Trafic",12/2021,82640,Manual,Diesel,1997,131,Euro6,1862,France
4892778,"Renault  Captur II Evolution 1.6 E-TECH Hybrid 145CV BVA6 E6d","Renault Captur",01/2023,2838,Automatic,"Hybrid (petrol / electric)",1598,94,Euro6,1102,France
4892777,"Renault  RENAULT MÃ©gane Berline 5p Berline Intens Blue dCi 115","Renault Megane",04/2023,23494,Manual,Diesel,1461,114,E62,1022,France
4892776,"Opel  Grandland X Business Elegance 1.5 130CV BVA8 E6d","Opel Grandland X",09/2022,54974,Automatic,Diesel,1499,131,Euro6,1362,France
4892775,"Kia 1.6 T-GDI 265 PHEV AUTO 4WD ACTIVE BUSIN KIA Sportage / 2021 / 5P / SUV 1.6 T-GDI 265 PHEV AUTO 4WD ACTIVE BUSIN","Kia Sportage",05/2022,36971,Automatic,"Hybrid (petrol / electric)",1598,179,Euro6,252,France
4892774,"Citroen BlueHDi 100 S&S BVM Feel C3 Feel 1.6 BlueHDi 100CV BVM5 E6","Citroen C3",05/2018,119920,Manual,Diesel,1560,99,Euro6,952,France
4892773,"Citroen BlueHDi 120 S&S BVM6 Millenium(SP) CITROEN C4 / 2010 / 5P / Berline BlueHDi 120 S&S BVM6 Millenium(SP)","Citroen C4",10/2017,111941,Manual,Diesel,1560,120,Euro6,952,France
4892772,"Volkswagen 2.0 TDI 140 35 L4H3 Crafter Fourgon Kasten 35 lang mit Hochdach FWD 2.0 140CV BVM6","Volkswagen Crafter",07/2020,82983,Manual,Diesel,1968,140,Euro6,2012,France
4892771,"Renault  Megane IV Berline 5 ptes. Business 1.5 dCi 115CV BVM6 E6d","Renault Megane",03/2022,56649,Manual,Diesel,1461,116,Euro6,1212,France
4892770,"Renault CC Cf Trac F3500 L2 dCi 110 E6 Master Chassis Cabine L2H1 3 5t 2.3 dCi 110 / GRUE","Renault Master",04/2018,17469,Manual,Diesel,2299,110,Euro6,2042,France
4892769,"Ford 2.0 ECOB 105PS 310 L2H2 FWD TREND BUSINE Transit Fourgon 310 L2 Trend 2.0 105CV BVM6 E6","Ford Transit",06/2019,101432,Manual,Diesel,1995,105,Euro6,1802,France
4892768,"Renault Grand Vol ExtraR-Link dCi 90 Kangoo Express Maxi Extra 1.5 dCi 90CV BVM5 E6","Renault Kangoo",05/2019,122867,Manual,Diesel,1461,90,Euro6,1232,France
4892767,"Peugeot 2.0 BLUEHDI 130 PREMIUM PA 333 L2H2 PEUGEOT Boxer VU 4p Fourgon 2.0 BLUEHDI 130 PREMIUM PA 333 L2H2","Peugeot Boxer",06/2018,39738,Manual,Diesel,1997,131,Euro6,1632,France
4892766,"Volkswagen 1.0 TSI 95 Confort Busi StÃ© RÃ©versible VOLKSWAGEN Polo VU 5p Berline 1.0 TSI 95 Confort Busi StÃ© RÃ©versible","Volkswagen Polo",07/2019,76031,Manual,"Natural Gas",999,90,N/A,872,France
4892765,"Peugeot Puretech 82 EU6.c S&S PREM PACK 208 Affaire Premium Pack 1.2 80CV BVM5 E6dT","Peugeot 208",02/2019,37701,Manual,Petrol,1199,83,Euro6,1082,France
4892764,"Peugeot BlueHDi 130 S&S EAT8 ALLURE BUSINESS 508 Allure Business 1.5 HDi 130CV BVA8 E6d","Peugeot 508",09/2020,94824,Automatic,Diesel,1499,131,Euro6,1242,France
4892763,"Citroen M 650kg BlueHDi 130 S&S EAT8 Driver Berlingo Kasten Driver M 650 1.5 BlueHDi 130CV BVA8 E6dT","Citroen Berlingo",02/2019,102724,Automatic,Diesel,1499,131,Euro6,1132,France
4892762,"Peugeot BLUEHDI 75 STANDARD 650KG PREMIUM Partner Premium L1 1.6 HDi 75CV BVM5 E6","Peugeot Partner",03/2019,102599,Manual,Diesel,1560,75,Euro6,1142,France
4892761,"Fiat 3.0 C H1 2.0 Multijet 115 Pack Pro Nav FIAT Ducato VU 4p Fourgon 3.0 C H1 2.0 Multijet 115 Pack Pro Nav","Fiat Ducato",08/2019,108056,Manual,Diesel,1956,116,Euro6,1572,France
4892760,"Citroen 35 L2 BlueHDi 130 BVM6 Confort CITROEN Jumper Benne SC VU 2p Pick-up 35 L2 BlueHDi 130 BVM6 Confort","Citroen Jumper",12/2018,42352,Manual,Diesel,1997,131,Euro6,1732,France
4895406,"Peugeot 1.5 BLUEHDI 100 S&S ACTIVE BUSINESS 2008 Active Business 1.5 HDi 100CV BVM6 E6d","Peugeot 2008",12/2020,112564,Manual,Diesel,1499,102,Euro6,1172,France
4895404,"Hyundai 1.6 CRDI 136 DCT-7 N LINE Tucson N-Line 2WD 1.6 CRDi 135CV BVA7 E6dT","Hyundai Tucson",11/2019,74925,Automatic,Diesel,1598,136,Euro6,1192,France
4895402,"Mercedes CLA 200 d AMG Line BA8 MERCEDES-BENZ CLA Shooting Brake / 2019 / 5P / Break CLA 200 d AMG Line BA8","Mercedes CLA 200",05/2020,93971,Automatic,Diesel,1950,150,Euro6,1312,France
4895400,"Renault Business SCe 65 -21 Clio V Business 1.0 SCe 65CV BVM5 E6d","Renault Clio",03/2021,60164,Manual,Petrol,999,67,Euro6,1192,France
4895399,"Renault Business Energy dCi 90 EDC Captur Business 1.5 dCi 90CV BVA6 E6","Renault Captur",12/2017,125365,Automatic,Diesel,1461,90,Euro6,1012,France
4895397,"Volkswagen 1.5 TSI 150 ACT OPF DSG7 SW LOUNGE VOLKSWAGEN Passat SW / 2019 / 5P / Break 1.5 TSI 150 ACT OPF DSG7 SW LOUNGE","Volkswagen Passat",12/2020,46961,Automatic,Petrol,1498,150,Euro6,1482,France
4895395,"Mini Cooper SE ALL4 125+95ch BVA6 MINI Countryman / 2020 / 5P / Crossover Cooper SE ALL4 125+95ch BVA6","Mini One Countryman",02/2021,15251,Automatic,"Hybrid (petrol / electric)",1499,125,Euro6,402,France
4895394,"Citroen BlueHDi 100 S&S BVM Feel Nav CITROEN C3 SociÃ©tÃ© / 2020 / 5P / Berline / VU BlueHDi 100 S&S BVM Feel Nav","Citroen C3",03/2021,79853,Manual,Diesel,1499,102,Euro6,1112,France
4895393,"Renault Zen TCe 100 RENAULT Clio / 2019 / 5P / Berline Zen TCe 100","Renault Clio",12/2019,36108,Manual,Petrol,999,101,Euro6,1002,France
4895392,"Peugeot 1.6 BLUEHDI 120 EAT6 ALLURE 3008 Allure 1.6 HDi 120CV BVA6 E6","Peugeot 3008",02/2018,104413,Automatic,Diesel,1560,120,Euro6,1082,France
4895390,"Skoda 2.0 TDI 116 DSG7 Business Octavia Break Business 2.0 TDI 115CV BVA7 E6d","Skoda Octavia",07/2022,109634,Automatic,Diesel,1968,116,Euro6,952,France
4895389,"Volkswagen 2.0 TDI 150 DSG7 Carat BMT Tiguan Carat Edition BMT 2.0 TDI 150CV BVA7 E6","Volkswagen Tiguan",05/2017,128824,Automatic,Diesel,1968,150,Euro6,1292,France
4895387,"Peugeot 2.0 BlueHDi 150 S&S EAT6 Allure 308 Allure 2.0 HDi 150CV BVA6 E6","Peugeot 308",10/2016,120491,Automatic,Diesel,1997,150,Euro6,1022,France
4895386,"Peugeot Puretech 130 S&S EAT8 ACTIVE BUSINESS 5008 Active Business 1.2 PureTech 130CV BVA8 E6d","Peugeot 5008",01/2020,69717,Automatic,Petrol,1199,131,Euro6,1092,France
4895384,"Volkswagen 2.0 TDi 150 DSG7 L1H1 Business VOLKSWAGEN Transporter / 2019 / 4P / Fourgon tÃ´lÃ© 2.0 TDi 150 DSG7 L1H1 Business","Volkswagen T5 Transporter",07/2021,84446,Automatic,Diesel,1968,150,Euro6,1972,France
4895382,"Renault Initiale Paris Ener dCi 160 TTb EDC 5pl Espace V Initiale Paris 1.6 dCi 160CV BVA6 E6","Renault Espace",04/2016,119231,Automatic,Diesel,1598,160,Euro6,1202,France
4895381,"Peugeot BlueHDi 130 S&S EAT8 GT LINE 5008 GT Line 1.5 HDi 130CV BVA8 E6dT","Peugeot 5008",01/2020,85182,Automatic,Diesel,1499,131,Euro6,982,France
4895380,"Renault Intens TCe 160 FAP Kadjar Intens 1.2 TCe 130CV BVM6 E6","Renault Kadjar",04/2019,67471,Manual,Petrol,1332,159,Euro6,1352,France
4895378,"Audi 20 TDI 150 S TRONIC DESIGN LUXE A3 Sportback 35 TDI design 2.0 TDI 150CV BVA7 E6dT","Audi A3",03/2019,84686,Automatic,Diesel,1968,150,Euro6,1122,France
4895377,"Peugeot Puretech 82 S&S ACTIVE BUSINESS 208 Active Business 1.2 80CV BVM5 E6dT","Peugeot 208",12/2019,21090,Manual,Petrol,1199,83,Euro6,1082,France
4895375,"Citroen PureTech 82 BVM Feel Business CITROEN C3 5p Berline PureTech 82 BVM Feel Business","Citroen C3",03/2018,16067,Manual,Petrol,1199,82,Euro6,1092,France
4895374,"Seat 1.0 TSI 115 S&S Style Business Ateca Style Business 1.0 TSI 115CV BVM6 E6dT","Seat Ateca",12/2019,69531,Manual,Petrol,999,116,Euro6,1102,France
4895373,"BMW xDrive20d M Sport BVA8 SÃ©rie X1 xDrive 20 d M Sport 2.0 190CV BVA8 E6d","BMW X1",03/2022,57921,Automatic,Diesel,1995,190,Euro6,1482,France
4895372,"Seat 1.0 TSI 110 S&S Style Business Leon Style 1.0 TSI 110CV BVM6 E6d","Seat Leon",12/2021,52653,Manual,Petrol,999,110,Euro6,1252,France
4895370,"BMW  BMW SÃ©rie 1 5p Berline 116d BVA8 Business Design","BMW 116",10/2022,28935,Automatic,Diesel,1496,116,N/A,1222,France
4895369,"BMW  BMW SÃ©rie 1 / 2019 / 5P / Berline 116d Business Design","BMW 116",07/2023,9817,Manual,Diesel,1496,116,N/A,1212,France
4895367,"Renault  Trafic Fourgon L2H1 1300 Confort 1.6 dCi 120CV BVM6 E6dT","Renault Trafic",08/2021,40774,Manual,Diesel,1997,120,Euro6,1542,France
4895366,"Opel  Grandland X Business Elegance 1.5 130CV BVA8 E6d","Opel Grandland X",12/2022,40334,Automatic,Diesel,1499,131,Euro6,1362,France
4895364,"Renault  Kadjar Business Edition 1.5 dCi 115CV BVM7 E6d","Renault Kadjar",12/2021,113379,Automatic,Diesel,1461,116,Euro6,1342,France
4895363,"Peugeot  208 Signature 1.2 PureTech 80CV BVM5 E6dT","Peugeot 208",10/2019,40726,Manual,Petrol,1199,83,Euro6,1082,France
4895362,"Peugeot 1.6 HYBRID 225 E-EAT8 GT Pack PEUGEOT 3008 / 2020 / 5P / SUV 1.6 HYBRID 225 E-EAT8 GT Pack","Peugeot 3008",03/2021,101996,Automatic,"Hybrid (petrol / electric)",1598,181,Euro6,312,France
4895360,"Nissan  NISSAN Qashqai / 2021 / 5P / Crossover 1.3 MHEV 158ch Xtronic N-Style(SP)","Nissan Qashqai",01/2022,34367,Automatic,Petrol,1332,158,N/A,0,France
4895359,"Renault  Megane IV Berline 5 ptes. Business 1.5 dCi 115CV BVM6 E6d","Renault Megane",06/2022,28395,Manual,Diesel,1461,116,Euro6,1212,France
4895358,"Ford 1.0 ECOBOOST 95PS CONNECT BUSINESS NAV Fiesta Cool&Connect 1.0 EcoBoost 95CV BVM6 E6dT","Ford Fiesta",02/2020,64668,Manual,Petrol,999,95,Euro6,942,France
4895357,"Renault  RENAULT MÃ©gane Berline 5p Berline Intens Blue dCi 115 EDC","Renault Megane",05/2023,26261,Automatic,Diesel,1461,114,E62,1082,France
4895355,"Renault  Captur II Intens 1.5 dCi 115CV BVA7 E6dT","Renault Captur",09/2020,49058,Automatic,Diesel,1461,116,Euro6,1292,France
4895354,"Citroen BlueHDi 100 S&S BVM Feel C3 Feel 1.6 BlueHDi 100CV BVM5 E6","Citroen C3",05/2018,115199,Manual,Diesel,1560,99,Euro6,952,France
4895353,"Citroen PureTech 130 S&S EAT8 Shine Pack C4 Grand Picasso/Spacetourer Shine Pack 1.2 PureTech 130CV BVA8 7 Sieges E6d","Citroen Grand C4 Picasso / SpaceTourer",08/2020,105401,Automatic,Petrol,1199,131,Euro6,1542,France
4895351,"Renault Business Energy dCi 90 ecoÂ² 82g Clio IV Business 1.5 dCi 90CV BVM5 E6","Renault Clio",03/2017,119369,Manual,Diesel,1461,90,Euro6,822,France
4895350,"Renault Cab Appro Gd Confort Energy dCi 90 E6 Kangoo Express Maxi Grand Confort - Cab. Appr. 1.5 dCi 90CV BVM5 E6","Renault Kangoo",03/2018,25866,Manual,Diesel,1461,90,Euro6,1232,France
4895349,"Peugeot 2.0 BLUEHDI 110 PREMIUM 333 L1H1 PEUGEOT Boxer VU 4p Fourgon 2.0 BLUEHDI 110 PREMIUM 333 L1H1","Peugeot Boxer",04/2018,75111,Manual,Diesel,1997,110,Euro6,1582,France
4895347,"Fiat 30 C H1 20 Multijet 115 Pack Pro Nav FIAT Ducato VU 4p Fourgon 30 C H1 20 Multijet 115 Pack Pro Nav","Fiat Ducato",03/2018,70915,Manual,Diesel,1956,116,Euro6,1572,France
4895346,"Citroen BlueHDi 100 S&S BVM6 Feel Business C4 Cactus Feel Business 1.5 BlueHDi 100CV BVM6 E6d","Citroen C4 Cactus",07/2020,124832,Manual,Diesel,1499,102,Euro6,1192,France
4895345,"Renault Extra R-Link - Blue dCi 95 Kangoo II Express Extra 1.5 dCi 95CV BVM6 E6dT","Renault Kangoo",12/2020,29176,Manual,Diesel,1461,95,Euro6,1482,France
4895343,"Ford 2.0 ECOB 105 310 L3H2 FWD TREND BUSINESS Transit Kastenwagen 310 L3 Trend 2.0 105CV BVM6 E6","Ford Transit",12/2019,68448,Manual,Diesel,1995,105,Euro6,1802,France
4895342,"Citroen 4-35 L3 BlueHDi 160 BVM6 Confort CITROEN Jumper ChÃ¢ssis Cabine SC VU 2p ChÃ¢ssis cabine 4-35 L3 BlueHDi 160 BVM6 Confort","Citroen Jumper",11/2018,94057,Manual,Diesel,1997,163,Euro6,1732,France
4895341,"Renault Air Energy dCi 75 Clio IV Air 1.5 dCi 75CV BVM5 E6","Renault Clio",03/2018,86502,Manual,Diesel,1461,75,Euro6,852,France
4895340,"Citroen VTi 95 BVM Business M Berlingo Business L1 1.6 VTI 100","Citroen Berlingo",07/2018,105614,Manual,Petrol,1598,98,Euro6,1502,France
4895338,"Renault Gd Confort Energy dCi 90 RENAULT Kangoo Express VU 4p Fourgonnette Gd Confort Energy dCi 90","Renault Kangoo",03/2016,98620,Manual,Diesel,1461,90,Euro5,1192,France
4895337,"Peugeot BLUEHDI 100 S&S Allure Business PEUGEOT 208 / 2019 / 5P / Berline BLUEHDI 100 S&S Allure Business","Peugeot 208",09/2021,27096,Manual,Diesel,1499,102,Euro6,1072,France
4888870,"SEAT Leon STYL 1,6L ECOM 105HP 5V CR","Seat Leon",05/2010,124470,Manual,Diesel,1598,105,Euro5,992,Belgium
4888871,"SKODA Superb Combi SUP.COM Grt AMB TS 92/1.4 M6F","Skoda Superb",06/2016,104508,Manual,Petrol,1395,125,Euro6,1262,Belgium
4889350,"LAND ROVER Range Rover Evoque 2.0 TD4 4WD Pure","Land Rover Range Rover Evoque",10/2016,55000,Manual,Diesel,1999,150,Euro6,1252,Belgium
4889487,"SKODA Yeti OUTD AMB OTS81/1.2 A7F","Skoda Yeti",01/2017,92972,Automatic,Petrol,1197,110,Euro6,1282,Belgium
4889489,"SKODA Kamiq Kamiq 1.0 TSI Style DSG","Skoda Kamiq",02/2022,10569,Automatic,Petrol,999,110,N/A,1092,Belgium
4889620,"SKODA Superb Combi COM ELEG GL 1,6 CR TDI 77KW 5V","Skoda Superb",04/2011,234340,Manual,Diesel,1598,105,Euro5,1142,Belgium
4889622,"VOLKSWAGEN Polo TREND 1,2L 60CV/PK 5V","Volkswagen Polo",04/2011,70044,Manual,Petrol,1198,60,Euro5,1282,Belgium
4889624,"AUDI Q3 Audi Q3 advanced 40 TFSI quattro 140(190) kW(PS) S tronic","Audi Q3",02/2020,40894,Automatic,Petrol,1984,190,Euro6d-TEMP,1652,Belgium
4890009,"BMW 318 Dsl 318 d","BMW 318",01/2010,199757,Manual,Diesel,1995,136,Euro5,1232,Belgium
4890012,"SKODA Octavia Combi O COMBI A5 AMBI 1,6CR 77KW 105CV 5V DPF","Skoda Octavia",01/2012,317991,Manual,Diesel,1598,105,Euro5,1092,Belgium
4890780,"TOYOTA Yaris 1.5i Dual VVT-iE Active","Toyota Yaris",04/2018,48290,Manual,Petrol,1496,111,Euro6,1092,Belgium
4890804,"AUDI Q3 Sportback Audi Q3 Sportback 35 TFSI 110(150) kW(PS) S tronic","Audi Q3",01/2020,24673,Automatic,Petrol,1498,150,Euro6d,1352,Belgium
4887717,"VOLKSWAGEN Golf VII R Golf R 4MOTION 2.0 l TSI GPF 221 kW (300 PS) 7-speed dual-clutch transmission DSG","Volkswagen Golf",07/2020,49412,Automatic,Petrol,1984,300,Euro6d-TEMP,1622,Belgium
4887714,"AUDI A4 Avant 35 TDi Sport S tronic (EU6d-TEMP)","Audi A4",04/2019,75030,Automatic,Diesel,1968,150,Euro6d,1152,Belgium
4887713,"AUDI Q2 Audi Q2 35 TFSI 110(150) kW(PS) S tronic","Audi Q2",07/2019,67715,Automatic,Petrol,1498,150,Euro6d-TEMP,1212,Belgium
4887870,"AUDI A5 Sportback Audi A5 Sportback sport 45 TFSI 180(245) kW(PS) S tronic","Audi A5",03/2019,100353,Automatic,Petrol,1984,245,Euro6d-TEMP,1492,Belgium
4888544,"VOLKSWAGEN Sharan Sharan Highline 2.0 l TDI SCR 110 kW (150 PS) 6-speed dual-clutch transmission DSG","Volkswagen Sharan",01/2020,88290,Automatic,Diesel,1968,150,Euro6d,1402,Belgium
4888662,"VOLKSWAGEN Touareg Touareg V6 TDI BlueMotion Technology 3.0 l V6 TDI SCR 150 kW (204 PS) 8-speed automatic (tiptronic)","Volkswagen Touareg",02/2015,119507,Automatic,Diesel,2967,204,Euro6,1732,Belgium
4888869,"AUDI A1 Sportback Audi A1 Attraction Sportback 1.6 TDI 66(90) kW(PS) 5-speed","Audi A1",06/2013,138086,"Manual gearbox",Diesel,1598,90,Euro5,992,Belgium
4887415,"PEUGEOT 2008 1.2 PureTech Allure S&S","Peugeot 2008",02/2018,64910,Manual,Petrol,1199,110,Euro6,1032,Belgium
4887416,"VOLKSWAGEN ID.4 Pro 1-speed automatic transmission","Volkswagen ID.4",07/2022,21328,Automatic,Electric,0,174,N/A,12,Belgium
4887417,"SEAT Tarraco TARRACO2.0TDI XCELL 5d 140 DE5 A7A","Seat Tarraco",01/2020,66858,Automatic,Diesel,1968,190,Euro6d,1472,Belgium
4887514,"AUDI A3 Sportback Audi A3 Sportback sport 30 TFSI 85(116) kW(PS) S tronic","Audi A3",06/2019,98679,Automatic,Petrol,999,116,Euro6d-TEMP,1172,Belgium
4887513,"MERCEDES-BENZ B 180 CDI","Mercedes B 180",01/2013,194473,Automatic,Diesel,1796,109,Euro5,1122,Belgium
4887511,"SEAT Tarraco TARRACO1.5TSI XCELL 5d 110 DS9 A7","Seat Tarraco",03/2020,44976,Automatic,Petrol,1498,150,Euro6d,1382,Belgium
4887510,"VOLKSWAGEN Caddy Caddy 1.4 TGI Trendline CNG DSG","Volkswagen Caddy",07/2016,90171,Automatic,"Natural Gas",1395,110,Euro6,1202,Belgium
4887509,"SKODA Fabia ACTIVE 1,2 HTP 44KW 60CV 5V","Skoda Fabia",04/2013,119999,Manual,Petrol,1198,60,Euro5,1282,Belgium
4887782,"PEUGEOT 2008 1.2","Peugeot 2008",06/2022,83263,Manual,Petrol,0,101,Euro6,1132,Netherlands
4887781,"PEUGEOT 208 1.2","Peugeot 208",06/2022,34599,Manual,Petrol,0,102,Euro6,1032,Netherlands
4887780,"PEUGEOT 2008 1.2","Peugeot 2008",05/2022,34307,Manual,Petrol,0,101,Euro6,1132,Netherlands
4887779,"PEUGEOT 3008 1.5 BlueHDi","Peugeot 3008",09/2020,137152,Manual,Diesel,0,131,Euro6,1012,Netherlands
4887778,"PEUGEOT 3008 1.2","Peugeot 3008",04/2022,60138,Manual,Petrol,0,131,Euro6,1242,Netherlands
