external_id,title,mark_and_model,first_registration_date,mileage,gearbox,fuel,engine_size,power,emission_class,co2_value,country_of_origin
4881040,"AUDI A4 AVANT DIESEL - 2020 30 TDi Business Edition S tronic Business","Audi A4",01/2020,52076,Automatic,Diesel,1968,136,N/A,1042,Belgium
4881041,"AUDI A5 35 TDi S tronic (EU6d-TEMP) Assistance Tour Platinum","Audi A5",12/2019,119300,Automatic,Diesel,1968,163,Euro6,1032,Belgium
4881042,"AUDI A6 2.0 TDI 35 S TRONIC BUSINESS EDITION Platinum","Audi A6",01/2020,82440,Automatic,Diesel,1968,163,Euro6,1042,Belgium
4881043,"AUDI A6 AVANT DIESEL - 2018 30 TDi Business Edition Sport S tronic Busin.Plus","Audi A6",12/2019,186708,Automatic,Diesel,1968,136,Euro6,1082,Belgium
4881044,"AUDI E-tron BEV 95KWH 55 QUATTRO ADVANCED Assistance Tour","Audi E-TRON",12/2022,31689,Automatic,Electric,0,408,N/A,0,Belgium
4881045,"AUDI Q4 E-TRON BEV 82KWH 40 EDITION ONE BLUE AUTO Navigation Plus Climate Platinum Dynami","Audi E-TRON",09/2022,49035,Automatic,Electric,0,204,A,0,Belgium
4881046,"AUDI Q5 DIESEL - 2017 2.0 TDi Business Plus","Audi Q5",08/2018,66814,Manual,Diesel,1968,150,Euro6,1172,Belgium
4881047,"BMW 1 HATCH - 2015 116i Business Model Advantage","BMW 116",09/2018,121834,Manual,Petrol,1499,109,Euro6,1342,Belgium
4881048,"BMW 1 SERIES HATCH 1.5 116DA (85KW) Business","BMW 116",04/2021,138662,Automatic,Diesel,1496,116,B,992,Belgium
4881049,"BMW 3 - 2019 330eA PHEV Business","BMW 330",01/2020,57965,Automatic,"Hybrid (petrol / electric)",1998,184,Euro6,372,Belgium
4881050,"BMW 3 - 2019 330eA PHEV Business Plus","BMW 330",08/2019,89400,Automatic,"Hybrid (petrol / electric)",1998,184,Euro6,382,Belgium
4881051,"BMW 3 SERIES TOURING 2.0 316DA (90KW) TOURING -Business-Comfort-Model Advantage-","BMW 316",02/2021,53291,Automatic,Diesel,1995,122,B,1052,Belgium
4881052,"BMW 3 TOURING DIESEL - 2019 318 d AdBlue Model Advantage Business","BMW 318",12/2019,93594,Manual,Diesel,1995,136,N/A,1182,Belgium
4881053,"BMW 3-serie 2.0 318D (100KW) BERLINE","BMW 318",08/2020,59267,Manual,Diesel,1995,136,Euro6,1102,Belgium
4881054,"BMW 4 GRAN COUPE DIESEL - 2017 418 dA  Model Sport Business","BMW 418",02/2018,30385,Automatic,Diesel,1995,150,Euro6,1162,Belgium
4881055,"BMW 4 GRAN COUPE DIESEL - 2017 418 dA AdBlue Business Model Advantage","BMW 418",03/2020,76249,Automatic,Diesel,1995,136,Euro6,1192,Belgium
4881056,"BMW 5 DIESEL - 2017 518 dA AdBlue Corporate","BMW 518",12/2019,121505,Automatic,Diesel,1995,150,Euro6,1162,Belgium
4881057,"BMW IX BEV 77KWH XDRIVE40 Innovation Exclusive Sport Comfort Design Suite","BMW iX",11/2021,21307,Automatic,Petrol,0,326,A,0,Belgium
4881058,"BMW X1 - 2019 1.5i sDrive18 OPF Business Model Advantage","BMW X1",12/2019,82872,Manual,Petrol,1499,136,Euro6,1252,Belgium
4881059,"BMW X1 DIESEL - 2015 1.5 dA sDrive16 AdBlue (EU6d-TEMP) Model Advantage Business","BMW X1",05/2019,81433,Automatic,Diesel,1496,116,Euro6,1332,Belgium
4881060,"BMW X1 DIESEL - 2015 1.5 dA sDrive16 AdBlue Model Advantage  Business","BMW X1",05/2019,79404,Automatic,Diesel,1496,116,Euro6,1332,Belgium
4881061,"BMW X1 DIESEL - 2019 2.0 dA sDrive18 AdBlue Model  xLine Business Plus","BMW X1",10/2019,102801,Automatic,Diesel,1995,136,Euro6,1142,Belgium
4881062,"BMW X3 DIESEL - 2018 2.0 dA sDrive18  Business","BMW X3",04/2019,166731,Automatic,Diesel,1995,150,Euro6,1662,Belgium
4881063,"BMW X3 DIESEL - 2018 2.0 dA sDrive18 (EU6c) Model xLine Corporate","BMW X3",06/2019,125061,Automatic,Diesel,1995,150,Euro6,1722,Belgium
4881064,"CITROAu2039N GRAND C4 SPACETOURER 1.2 PURETECH 130 S-S SHINE AUTO Safety Drive Assist","Citroen Grand C4 Picasso / SpaceTourer",03/2021,168319,Automatic,Petrol,0,130,B,1132,Belgium
4881065,"DACIA SANDERO STEPWAY - 2017 1.0 TCe Stepway Plus (EU6.2)","Dacia Sandero",06/2020,31665,Manual,Petrol,999,101,Euro6,1102,Belgium
4881066,"FIAT DUCATO 35 FOURGON MWB HR DSL - 2.3 Multijet M-H2 (EU6)","Fiat Ducato",09/2018,70034,Manual,Diesel,2287,130,Euro6,1662,Belgium
4881067,"FORD Focus 1.0I ECOBOOST 92KW TITANIUM BUSINESS Winter Parking","Ford Focus",05/2019,117298,Manual,Petrol,999,125,Euro6,1282,Belgium
4881068,"FORD FOCUS - 2018 1.0 EcoBoost Connected","Ford Focus",06/2020,36327,Manual,Petrol,998,100,Euro6,1032,Belgium
4881069,"FORD GRAND C-MAX - 2015 1.0 EcoBoost Titanium (EU6.2) Easy Driver","Ford C-Max",02/2019,36134,Manual,Petrol,998,125,Euro6,1632,Belgium
4881070,"FORD S-Max 2.0 TDCi Titanium PowerShift Titanium Deluxe Family Comfort","Ford S-Max",07/2018,140808,Automatic,Diesel,1997,150,Euro6,1292,Belgium
4881071,"JAGUAR I-PACE EV400 S","Jaguar I-Pace",05/2020,100744,Automatic,Electric,0,400,N/A,0,Belgium
4881072,"KIA NIRO PHEV 1.6 GDi Sense Plug-In DCT","Kia Niro",05/2019,117178,Automatic,Petrol,1580,105,Euro6,292,Belgium
4881073,"MERCEDES-BENZ C-Klasse C 200 d Business Solution AMG Line Plus","Mercedes C 200",06/2018,166308,Manual,Diesel,1598,136,Euro6,1172,Belgium
4881074,"MERCEDES-BENZ CLASS C CABRIOLET DIESEL (A205 C 220 d Advantage AMG Line int+extr","Mercedes C 220",09/2018,90425,Automatic,Diesel,1950,194,Euro6,1262,Belgium
4881075,"MERCEDES-BENZ CLASSE A (W177) A 160 Business Solution","Mercedes A 160",10/2019,56377,Manual,Petrol,1332,109,Euro6,1272,Belgium
4881076,"MERCEDES-BENZ CLASSE A DIESEL (W177) A 180 d Launch Edition (EU6d-TEMP) AMG Line Premium","Mercedes A 180",10/2019,152726,Automatic,Diesel,1461,116,Euro6,1032,Belgium
4881077,"MERCEDES-BENZ CLASSE C BREAK DIESEL (S205) - C 220 d Business Solution AMG","Mercedes C 220",10/2018,104678,Automatic,Diesel,1950,194,Euro6,1492,Belgium
4881078,"MERCEDES-BENZ CLASSE C COUPE DIESEL (C205) C 220 d Stationnement + camera de recul","Mercedes C 220",02/2018,97516,Automatic,Diesel,2143,170,Euro6,1122,Belgium
4881081,"MERCEDES-BENZ GLC GLC 220 d 4-Matic Business Sol. (EU6c) AMG Line exterieur","Mercedes GLC 220",04/2019,176771,Automatic,Diesel,2143,170,Euro6,1922,Belgium
4881082,"MITSUBISHI Outlander 2.4 PHEV BUS. EDIT. SDA AUTO 4WD 5PL.","Mitsubishi Outlander",06/2019,143415,Automatic,"Hybrid (petrol / electric)",2360,135,A,462,Belgium
4881083,"MITSUBISHI OUTLANDER - 2019 2.4i 4WD PHEV Business Edition(EU6d-TEMP","Mitsubishi Outlander",03/2019,132660,Automatic,Petrol,2360,135,Euro6,462,Belgium
4881084,"NISSAN QASHQAI - 2017 1.3 DIG-T N-Connecta (EU6d-TEMP) Design","Nissan Qashqai",04/2019,59309,Manual,Petrol,1332,140,Euro6,1302,Belgium
4881085,"OPEL Corsa 1.0 Turbo ECOTEC Enjoy Start-Stop","Opel Corsa",04/2019,60596,Manual,Petrol,998,90,Euro6,1332,Belgium
4881086,"OPEL Grandland 1.2 TURBO ECOTEC S-S 96KW ULTIMATE","Opel Grandland X",06/2020,83264,Manual,Petrol,1199,130,B,1142,Belgium
4881087,"OPEL GRANDLAND X 1.5 TURBO D 96KW S-S AUTO EDITION Navi 5.0 Experience","Opel Grandland X",01/2021,109606,Automatic,Diesel,1499,131,B,1052,Belgium
4881088,"PEUGEOT 3008 1.2 PURETECH 96KW S&S AUTO GT LINE Drive Assist + Safety Plus / Visopark 1","Peugeot 3008",07/2019,77102,Automatic,Petrol,1199,130,Euro6,1172,Belgium
4881089,"PEUGEOT 3008 1.5 BLUEHDI 96KW S&S GT LINE","Peugeot 3008",10/2020,203234,Manual,Diesel,1499,130,Euro6,1012,Belgium
4881090,"PEUGEOT 3008 - 2016 1.2 PureTech Allure","Peugeot 3008",05/2019,65429,Manual,Petrol,1199,130,Euro6,1582,Belgium
4881091,"PEUGEOT 308 DIESEL - 2017 1.5 BlueHDi Allure LED&STYLE Side Security","Peugeot 308",04/2018,153510,Manual,Diesel,1499,130,Euro6,952,Belgium
4881092,"PEUGEOT 308 DIESEL - 2017 1.5 BlueHDi GT Line (EU6.2) Safety Plus","Peugeot 308",01/2019,97466,Automatic,Diesel,1499,130,Euro6,1332,Belgium
4881093,"PEUGEOT 508 1.5 BLUEHDI 130 S&S AUTO ACTIVE Drive Assist Plus City 1 Promo Fifty-fifty","Peugeot 508",01/2020,86003,Automatic,Diesel,1499,130,Euro6,942,Belgium
